CODISTR        	DESCRIZ                            	GIACONT	 PROGCAR	 PROGSCA	GIADIN	     COSTO	  PREZZO_1	ULTVEN  	ULTCAR  	CODICE	   SCMIN
VED45060012    	CARRELLINO SPESA STOFFA            	      6	       0	       1	     5	      6.26	     14.93	28/05/02	07/11/01	V104  	45060012
VED45060101    	CARRELLO SUPERM.METALLO            	      1	      12	       3	    10	      8.98	     20.60	18/03/02	21/06/02	V601  	45060101
VED45110249    	REGISTRAT.CASSA EL.C/LETT.COD.BARRE	      1	       0	       1	     0	     13.52	     28.35	06/07/02	04/12/01	V166  	45110249
VED45125190    	BILANCI X FRUTTA E VERDURA         	      0	       1	       1	     0	      9.60	     21.50	19/07/02	21/06/02	V525  	45125190
VED45310043    	CESTINO SUPERMERCATO               	     11	       0	       0	    11	      1.72	      5.68	17/12/01	04/12/01	V170  	45310043
VED45340040    	CESTINO CON PRODOTTI ALIM.         	      0	      10	       0	    10	      4.96	     11.50	  /  /  	21/06/02	V542  	45340040
VED45370232    	CNF.FRUTTA IN RETE                 	      0	       4	       0	     4	      3.96	      9.50	  /  /  	21/06/02	P066  	45370232
VED45440141    	SCATOLE E LATTE C/CODICI BARRE     	      2	       0	       0	     2	      6.39	     14.41	22/12/01	04/12/01	V176  	45440141
VED45710122    	TEATRO LEGNO BURATTINI             	      0	       3	       0	     3	     31.60	     67.50	  /  /  	21/06/02	P272  	45710122
VED45710165    	TEATRO BURATTINI                   	      0	       0	       0	     0	     18.80	     40.80	16/12/01	10/09/01	P220  	45710165
VED45821285    	CNF.6 BURATTINI                    	      0	       0	       1	    -1	      0.00	     16.50	17/08/02	  /  /  	P276  	45821285
VED45920020    	LAVAGNA LEGNO C/ROTOLO CARTA       	      2	       4	       3	     3	     34.17	     72.50	01/06/02	21/06/02	P238  	45920020
VED45920232    	LAVAGNA LEGNO ROSSA NATURALE       	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	G883  	45920232
VED45920275    	LAVAGNA LEGNO C/BASE               	      1	       2	       2	     1	     15.72	     32.90	10/08/02	01/06/02	P585  	45920275
VED45960145    	LAVAGNA MAG.LEGNO A MURO 75*53 5713	     -1	       0	       0	    -1	     15.92	     38.22	24/12/01	01/08/01	P658  	45960145
VED45990001    	ROTOLI CARTA X LAVAGNA             	      0	      10	       0	    10	      2.82	      6.90	  /  /  	01/06/02	P090  	45990001
VED46035151    	CASA BAMBOLA C/MOBILI 54*30*52 7416	      0	       0	       0	     0	     31.13	     71.79	29/11/01	10/09/01	V603  	46035151
VED46035283    	CASA BAMBOLE C/MOBILI 58*58*48 9267	      0	       0	       0	     0	     47.07	    100.71	23/11/01	15/11/01	V604  	46035283
VED46035321    	CASA BAMBOLA C/MOBILI 31*51*12     	      0	       0	       0	     0	     54.08	    113.10	14/12/01	15/11/01	B484  	46035321
VED46710339    	DONDOLO LEGNO X BAMB.ECON.54 CM.   	      0	       0	       0	     0	     14.23	     33.05	11/12/01	05/06/01	V616  	46710339
VED46720008    	LETTINA CAMPEGGIO QUADRETTI LISSI  	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	V666  	46720008
VED46720555    	LETTINO LEGNO PATCW.54 CM.         	      0	       2	       0	     2	     14.37	     31.00	18/12/01	20/01/02	V619  	46720555
VED46800061    	LETTO CAASTELLO ROSSO 50 CM.       	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	V672  	46800061
VED46810112    	ARMADIO                            	      0	       0	       0	     0	     16.54	     38.73	04/12/01	05/07/01	B161  	46810112
VED46810198    	ARMADIO LEGNO X BAMBOLE PINOLINO   	      1	       0	       1	     0	     30.87	     71.79	27/03/02	14/12/01	B207  	46810198
VED46840372    	NENUCO SET DA VIAGGIO              	      0	       2	       1	     1	      7.60	     17.90	26/06/02	01/06/02	V089  	46840372
VED46840852    	SEGGIOLONE LEGNO ECON.             	      3	       0	       2	     1	      8.73	     20.40	23/07/02	07/11/01	B231  	46840852
VED47020042    	LAVATRICE MIELE                    	      1	       0	       1	     0	     19.17	     40.28	10/07/02	14/12/01	V325  	47020042
